2020-02-02,-120,NZD,Cash Withdrawal,,The Laundromat,E-16
2020-02-03,380,NZD,Cash Deposit,,Panama Papers Inc,E-17
2020-02-11,380,NZD,Cash Deposit,,Panama Papers Inc,E-17
2020-02-17,1200,NZD,Cash Deposit,,Panama Papers Inc,E-17
2020-03-02,800,NZD,Cash Deposit,,Panama Papers Inc,E-17
2020-03-04,-19600,NZD,Debit Transfer,,NightSky LLC,E-19
2020-03-04,-19640,NZD,Debit Transfer,,The Laundromat,E-16
2020-03-05,-41080,NZD,Debit Transfer,,AtmosComp Inc,E-18
2020-03-05,6401,NZD,Direct Credit,INV-0016776,Gatekeepers Inc,E-15
2020-03-05,28850,NZD,Direct Credit,INV-0013065,Quasar Limited,E-20
2020-03-06,243801,NZD,Direct Credit,INV-0015351,Gravitational LP,E-21
2020-03-06,243801,NZD,Direct Credit,INV-0015350,Quasar Limited,E-20
2020-03-08,17751506,NZD,Direct Credit,INV-0012723,Quasar Limited,E-20
2020-03-11,-24600,SGD,International Payment,,Gatekeepers Inc,E-15
2020-03-11,-10620,NZD,Loan Payment,,The Laundromat,E-16
2020-03-11,651000,NZD,Direct Credit,INV-0012230,The Laundromat,E-16
2020-03-12,3270100,NZD,Direct Credit,INV-0012483,Avid AML Limited,E-13
2020-03-12,70100,NZD,Direct Credit,INV-0012484,NightSky LLC,E-19
2020-03-12,797000,NZD,Direct Credit,INV-0012871,The Laundromat,E-16
2020-03-13,1369,NZD,Direct Credit,INV-0014155,FX Broker Limited,E-14
2020-03-13,-9610,NZD,Loan Payment,,Quasar Limited,E-20
2020-03-13,29366,SGD,International Receipt,INV-0018271,The Laundromat,E-16
2020-03-14,34002,AUD,International Receipt,INV-0015950,AtmosComp Inc,E-18
2020-03-14,-324,NZD,Bill Pmnt,,Avid AML Limited,E-13
2020-03-14,-25600,NZD,Loan Payment,,FX Broker Limited,E-14
2020-03-14,5400,AUD,International Receipt,INV-0016577,NightSky LLC,E-19
2020-03-15,800000,NZD,Direct Credit,INV-0012899,Gatekeepers Inc,E-15
2020-03-15,31000,NZD,Direct Credit,INV-0013490,Gatekeepers Inc,E-15
2020-03-15,-60,NZD,Cash Withdrawal,,Gatekeepers Inc,E-15
2020-03-15,3401,NZD,Loan Deposit,INV-0015952,NightSky LLC,E-19
2020-03-15,-85000,SGD,International Payment,,Quasar Limited,E-20
2020-03-16,380,NZD,Cash Deposit,,Panama Papers Inc,E-17
2020-03-18,-350,NZD,Payment,,AtmosComp Inc,E-18
2020-03-18,243300,NZD,Direct Credit,INV-0015354,FX Broker Limited,E-14
2020-03-18,3853,NZD,Direct Credit,INV-0016109,Panama Papers Inc,E-17
2020-03-18,42657,NZD,Cheque Deposit,INV-0013244,Quasar Limited,E-20
2020-03-18,-252,NZD,Payment,,The Laundromat,E-16
2020-03-18,1300,NZD,Direct Credit,INV-0014061,The Laundromat,E-16
2020-03-19,10660,NZD,Cheque Deposit,INV-0017401,AtmosComp Inc,E-18
2020-03-19,968522,NZD,Direct Credit,INV-0017206,AtmosComp Inc,E-18
2020-03-19,603547,NZD,Direct Credit,INV-0016006,NightSky LLC,E-19
2020-03-20,-26001,NZD,Debit Transfer,,AtmosComp Inc,E-18
2020-03-20,-7602,AUD,International Payment,,FX Broker Limited,E-14
2020-03-20,-95,NZD,Payment,,Gatekeepers Inc,E-15
2020-03-20,-152,NZD,Bill Pmnt,,Panama Papers Inc,E-17
2020-03-20,-19601,NZD,Debit Transfer,,Panama Papers Inc,E-17
2020-03-21,-380,NZD,Payment,,AtmosComp Inc,E-18
2020-03-21,-2554000,SGD,International Payment,,Avid AML Limited,E-13
2020-03-21,-1667,SGD,International Payment,,FX Broker Limited,E-14
2020-03-21,-47022,SGD,International Payment,,FX Broker Limited,E-14
2020-03-21,10450,AUD,International Receipt,INV-0017350,FX Broker Limited,E-14
2020-03-21,-46750,SGD,International Payment,,NightSky LLC,E-19
2020-03-21,-42022,NZD,Internal Transfer,,Panama Papers Inc,E-17
2020-03-21,-21623,NZD,Debit Transfer,,Panama Papers Inc,E-17
2020-03-21,2954,NZD,Direct Credit,INV-0015684,Quasar Limited,E-20
2020-03-22,6070,AUD,International Receipt,INV-0016709,Avid AML Limited,E-13
2020-03-25,24390,NZD,Cheque Deposit,INV-0015357,AtmosComp Inc,E-18
2020-03-25,-17494,NZD,Debit Transfer,,Avid AML Limited,E-13
2020-03-25,-98634,NZD,Debit Transfer,,Avid AML Limited,E-13
2020-03-25,750550,NZD,Direct Credit,INV-0012724,Gravitational LP,E-21
2020-03-25,222430,NZD,Direct Credit,INV-0015356,NightSky LLC,E-19
2020-03-25,-19630,NZD,Debit Transfer,,Panama Papers Inc,E-17
2020-03-25,-24633,AUD,International Payment,,Panama Papers Inc,E-17
2020-03-26,-3009,NZD,Cheque Withdrawal,,Avid AML Limited,E-13
2020-03-26,501420,NZD,Direct Credit,INV-0014264,Gravitational LP,E-21
2020-03-26,32960,NZD,Direct Credit,INV-0013245,NightSky LLC,E-19
2020-03-26,19990,NZD,Cheque Deposit,INV-0014964,Panama Papers Inc,E-17
2020-03-26,-90195,NZD,Cheque Withdrawal,,Quasar Limited,E-20
2020-03-26,501435,NZD,Direct Credit,INV-0014266,The Laundromat,E-16
2020-03-27,1650,NZD,Direct Credit,INV-0014580,AtmosComp Inc,E-18
2020-03-27,1933,NZD,Direct Credit,INV-0014927,Avid AML Limited,E-13
2020-03-27,34430,NZD,Direct Credit,INV-00116319,Gatekeepers Inc,E-15
